on x=-1..48,y=-16..38,z=-20..25
on x=-18..29,y=-44..3,z=-10..43
on x=-34..16,y=-15..32,z=-46..4
on x=-22..27,y=-19..33,z=-7..47
on x=-19..31,y=-31..20,z=-18..32
on x=-37..9,y=-11..35,z=-17..27
on x=-41..13,y=-41..13,z=-14..37
on x=-12..37,y=-37..7,z=-2..46
on x=-17..27,y=-22..23,z=-16..34
on x=-45..9,y=-20..30,z=-41..3
off x=0..14,y=-3..6,z=-49..-30
on x=-19..35,y=-23..24,z=-41..7
off x=2..18,y=-33..-18,z=-27..-17
on x=-26..27,y=-10..40,z=-20..30
off x=10..21,y=-6..12,z=-31..-18
on x=-41..4,y=-48..6,z=-18..28
off x=-48..-37,y=-46..-28,z=15..26
on x=-42..9,y=-3..41,z=0..49
off x=-25..-14,y=-1..13,z=17..28
on x=-6..48,y=-23..29,z=-40..13
on x=33437..56338,y=12827..43842,z=45512..79325
on x=-17342..3165,y=-94930..-58559,z=-33356..-16702
on x=59487..67989,y=-40780..-27724,z=26492..52049
on x=18242..35449,y=-37046..-9836,z=49310..82186
on x=-27603..-6975,y=49383..54200,z=59064..77711
on x=41065..67320,y=59371..73606,z=-19211..7672
on x=-2549..20933,y=-63492..-41908,z=-70158..-52821
on x=-51910..-44518,y=59764..62391,z=22604..29458
on x=56200..75731,y=-27746..-13374,z=-34980..-25179
on x=-7631..27550,y=-69774..-54066,z=-70650..-33166
on x=27578..42851,y=-75597..-72343,z=-19560..16754
on x=-6878..11072,y=42099..70170,z=48782..73011
on x=70156..94750,y=-70..25231,z=948..14653
on x=-40062..-27035,y=-75430..-67698,z=18543..33830
on x=-81636..-61039,y=2866..18618,z=15873..26478
on x=-72782..-63455,y=4714..26418,z=-52162..-32914
on x=70975..86474,y=-28052..-18354,z=-15892..10277
on x=-21601..6945,y=50585..81690,z=-49699..-31684
on x=20141..40434,y=-95907..-69218,z=-15108..11374
on x=36908..69871,y=32892..59654,z=29200..57891
on x=361..24312,y=67326..72968,z=20325..48008
on x=-69171..-55700,y=40493..52477,z=-32109..-13746
on x=-55329..-32849,y=18673..46758,z=-67551..-42790
on x=33826..58282,y=48321..74097,z=18290..41319
on x=-27239..-8541,y=-22881..88,z=73663..86430
on x=26507..48226,y=16841..28506,z=-69139..-53270
on x=53809..76860,y=13829..20865,z=-38477..-19649
on x=31042..57342,y=-75797..-51877,z=6810..22228
on x=-57999..-41870,y=-63042..-48886,z=-52539..-19071
on x=-26910..-14235,y=-42398..-23278,z=68243..86894
on x=52252..74857,y=-19977..-8598,z=40373..58714
on x=50010..74284,y=41007..44474,z=-4066..6641
on x=-49349..-30889,y=36058..45942,z=-74841..-36743
on x=-66759..-32543,y=48052..70654,z=19792..34201
on x=-38195..-17986,y=-85103..-73270,z=-14419..2417
on x=-54218..-39823,y=45436..73414,z=3347..36613
on x=7369..25671,y=-59478..-38270,z=-56879..-54151
on x=2256..31577,y=-94146..-72126,z=-4317..5999
on x=-40900..-17098,y=-76036..-57685,z=-48786..-25459
on x=-95207..-73375,y=-9149..9428,z=23275..38018
on x=-36850..-26928,y=-37292..-10502,z=64014..81151
on x=-59033..-36526,y=43232..65115,z=-55165..-32801
on x=-89130..-71599,y=16261..29112,z=13592..32099
on x=-35925..-23850,y=30571..48852,z=50456..69805
on x=55748..82830,y=-41931..-36569,z=20305..27083
on x=2625..31989,y=-83863..-59167,z=21008..35199
on x=-17120..8196,y=-15952..20689,z=-97634..-63082
on x=67797..80569,y=-4947..4065,z=-23771..-13125
on x=17722..26181,y=63634..77078,z=-40399..-14266
on x=-24714..-17103,y=-58596..-33755,z=38217..62404
on x=-35587..-23621,y=46012..80548,z=26588..46795
on x=31936..40355,y=-67030..-49381,z=-50268..-14784
on x=5596..13661,y=-74958..-45275,z=40407..69288
on x=38612..67368,y=-60786..-37973,z=23314..46473
on x=-72045..-52232,y=-21032..-8164,z=-52171..-23686
on x=-29968..-4151,y=-24768..8715,z=-89266..-60234
on x=-37509..-23170,y=60310..83858,z=28551..38985
on x=-68577..-35018,y=2999..23020,z=38096..58076
on x=-70238..-46751,y=-62914..-49025,z=-12150..18310
on x=-57173..-44897,y=-66415..-50723,z=-12817..4244
on x=-13706..1019,y=28466..57936,z=-74905..-49591
on x=-72607..-45585,y=-71863..-37894,z=-41318..-24112
on x=54095..74330,y=-70866..-44913,z=-16762..-4913
on x=50668..74672,y=-52426..-21786,z=25368..44293
on x=-7034..20115,y=-9693..17713,z=-85683..-66007
on x=50471..66846,y=27203..61489,z=4211..19870
on x=-45900..-8537,y=56117..84621,z=15593..49599
on x=-57555..-29431,y=-23406..-1928,z=-76476..-47096
on x=13660..32420,y=-17969..-10006,z=-96788..-60606
on x=66346..96729,y=9181..27708,z=-16591..11613
on x=-78750..-61738,y=17521..50078,z=-33313..-12817
on x=-1994..12887,y=1003..26974,z=-81281..-61765
on x=-78118..-47747,y=-36234..-13180,z=-58773..-43656
on x=8567..29515,y=67122..95882,z=9275..32341
on x=-77707..-61614,y=14468..31616,z=31062..56551
on x=-41615..-19627,y=28997..35740,z=-81998..-65477
on x=-48052..-38972,y=-68139..-45048,z=31724..39389
on x=-23082..2058,y=59185..88471,z=32749..48405
on x=-75158..-50341,y=-13609..6898,z=-46696..-37869
on x=-32414..-20971,y=11061..41294,z=61244..84706
on x=4815..30502,y=-30209..-12179,z=-96509..-71288
on x=-37897..-7477,y=-39767..-16117,z=64382..74721
on x=52144..72942,y=17844..45538,z=-58438..-25227
on x=-49398..-12795,y=56353..74616,z=9023..26905
on x=46915..68081,y=11021..16074,z=-66835..-44586
on x=23443..44134,y=59717..72628,z=-5705..25287
on x=-51367..-31498,y=53972..66920,z=-33369..-5601
on x=64880..87795,y=-25662..1781,z=2696..31936
on x=-70854..-33390,y=39648..40840,z=-50688..-37989
on x=23908..47949,y=-82674..-48695,z=20546..41974
on x=46954..51195,y=39161..56472,z=37602..51128
on x=11517..29536,y=-29920..-8358,z=68433..84983
on x=-94466..-57419,y=-13379..8308,z=6519..27984
on x=-54018..-31105,y=20101..39414,z=-83628..-50027
on x=-85145..-58647,y=13861..36615,z=2945..17633
on x=-43689..-27994,y=-81519..-68896,z=-5565..18293
on x=-57442..-29781,y=-75713..-51718,z=-19561..10528
on x=-96614..-71443,y=4298..19595,z=-15543..-8479
on x=-4983..6836,y=-73083..-52295,z=-53115..-19323
on x=-87354..-57072,y=-53989..-20809,z=-28499..7938
on x=44429..59086,y=-17701..18642,z=54239..70453
on x=-7490..9995,y=-51625..-28653,z=51656..86887
on x=6333..20981,y=-96081..-59302,z=-7405..3774
on x=-43893..-20347,y=46567..66155,z=-53307..-38008
on x=57283..76995,y=39798..52904,z=-34469..-27279
on x=-31364..-11438,y=22411..40749,z=-70531..-66561
on x=53718..88004,y=-40108..-9779,z=991..28453
on x=-17651..4676,y=58117..82206,z=-58760..-48210
on x=-439..6290,y=-58250..-44204,z=-76031..-47610
on x=-44688..-41724,y=60455..73374,z=15636..31159
on x=-28875..-22544,y=-82606..-52627,z=-45244..-32570
on x=-15984..-6960,y=-23413..-4029,z=60645..95782
on x=-61769..-28435,y=57924..68804,z=9953..16109
on x=-67804..-42717,y=-57246..-41937,z=-38286..-12750
on x=58507..68248,y=35220..59797,z=-877..15963
on x=-30359..-7600,y=-2344..29713,z=-91157..-73720
on x=-79799..-68763,y=9997..27685,z=4601..27347
on x=-35384..-1568,y=-81750..-68689,z=369..26982
on x=-64852..-51910,y=-21519..7739,z=47934..74956
on x=39228..72609,y=34051..61731,z=15726..47402
on x=54184..83485,y=-23478..4300,z=19603..48425
on x=16735..43379,y=-46508..-11847,z=60832..82954
on x=-45821..-31159,y=62555..90058,z=5642..13116
on x=73298..99452,y=-12818..12447,z=-12241..17805
on x=-54926..-45244,y=-19135..-3467,z=58668..66114
on x=-56698..-42018,y=-55343..-42385,z=-37607..-8542
on x=59307..81618,y=19362..27550,z=15471..39075
on x=-71448..-33061,y=-38627..-35422,z=-67952..-36183
on x=-83215..-59852,y=16889..41028,z=-56..32938
on x=40526..68326,y=-2472..24699,z=56335..66875
on x=-77946..-70763,y=25469..43508,z=2951..14856
on x=-46543..-17914,y=58749..73413,z=-16218..-3353
on x=35355..53713,y=-68542..-50644,z=-51561..-25775
on x=-32356..-10346,y=22323..30374,z=-93261..-56997
on x=-73600..-57992,y=-55157..-44598,z=-14118..17601
on x=-50437..-34207,y=-48988..-34142,z=27358..61321
on x=-47427..-36307,y=52468..73774,z=30289..48668
on x=6660..33981,y=24092..44706,z=58492..92857
on x=-30628..-12500,y=-46167..-17405,z=59394..83060
on x=41538..55191,y=43501..60608,z=-40139..-31035
on x=-29538..-3412,y=74927..77766,z=-2541..15551
on x=15784..34520,y=24278..54221,z=65089..75147
on x=42535..56644,y=-1335..23855,z=-72076..-42080
on x=-35738..-25484,y=29658..50334,z=49522..80528
on x=40838..63075,y=-68471..-44781,z=-27018..-4034
on x=-86197..-58456,y=4038..9789,z=23939..38730
on x=-50978..-37282,y=18238..33963,z=-68013..-46889
on x=-9002..18414,y=57350..65842,z=-64350..-45437
on x=15643..40411,y=66071..79781,z=7607..19783
on x=16474..33177,y=64402..91823,z=-10253..-5099
on x=-8443..8050,y=51848..81740,z=-58521..-33652
on x=-60748..-54505,y=-29567..-14412,z=-56374..-33973
on x=-55852..-50340,y=-1062..29335,z=-62774..-52740
on x=27118..60720,y=-59485..-48094,z=-42684..-33215
on x=-6113..20676,y=23469..40315,z=64560..85647
on x=26071..51400,y=-5826..20371,z=-77828..-70855
on x=-74360..-66078,y=-8194..17627,z=30575..35854
on x=40297..50534,y=61080..77216,z=-18473..-13420
on x=6481..32188,y=-73038..-67468,z=-37425..-17822
on x=69163..81923,y=4794..11958,z=14398..31408
on x=36923..59329,y=-65909..-48917,z=-1373..22196
on x=-33381..-13509,y=30568..40854,z=46822..70376
on x=59457..79154,y=29600..51339,z=444..3489
on x=-51419..-24415,y=13429..36159,z=52009..71526
on x=-17852..4277,y=27227..50102,z=-85725..-70528
on x=43063..62237,y=-35715..-16381,z=-46313..-39565
on x=1241..7407,y=-29526..-9534,z=-76285..-63119
on x=57223..69361,y=-33985..-25987,z=-56817..-31108
on x=-28082..-15386,y=56805..83538,z=-47032..-11458
on x=29138..58816,y=46528..60618,z=-44786..-15056
on x=66453..81884,y=-10034..20560,z=-29536..-7062
on x=1600..24056,y=69703..97557,z=-16476..16237
on x=-37847..-14432,y=-72282..-68661,z=-35526..-13599
on x=-8868..13571,y=-41127..-22602,z=70177..86033
on x=61524..91545,y=-21808..1174,z=29652..38701
on x=58060..78978,y=-48311..-38908,z=-19604..4587
on x=51890..79701,y=-53117..-20189,z=5288..27256
on x=-56628..-33308,y=-75005..-55947,z=6100..24176
on x=-476..19625,y=-79546..-56031,z=35565..51238
on x=-25721..-18051,y=47720..69868,z=-59102..-29211
on x=44706..54461,y=49550..67889,z=-18248..543
on x=-34739..-13770,y=39347..72870,z=39407..71230
on x=-67763..-32410,y=45951..75648,z=-32728..-18587
on x=42494..63426,y=-71528..-40260,z=-7254..17963
on x=-76582..-60188,y=-55062..-24896,z=-25573..3064
on x=21953..37769,y=-75645..-54247,z=-35308..-19223
on x=47005..61959,y=-75258..-55850,z=-35024..-22448
on x=-65676..-35556,y=-2796..16725,z=-71103..-42080
on x=-48829..-30079,y=18210..34501,z=52882..66667
on x=-42810..-31723,y=55129..68535,z=22348..45500
on x=-37433..-25195,y=-38957..-23637,z=-68796..-61046
on x=-82289..-62535,y=-2433..17631,z=5359..26886
on x=-7504..10315,y=-92548..-76467,z=-28253..264
on x=40755..66162,y=-42861..-40086,z=33848..52972
on x=41251..59301,y=-36909..-31405,z=48865..70055
on x=-77381..-52063,y=22297..42679,z=-17532..3121
on x=-41142..-23099,y=22442..43961,z=-82656..-61658
on x=50872..58507,y=41441..77408,z=-3646..8460
on x=22531..42190,y=48136..66866,z=-35736..-15654
on x=-26349..-4775,y=-39232..-3391,z=-80767..-62478
on x=-22714..4657,y=-40195..-17309,z=-84682..-57245
on x=-79436..-46156,y=-44726..-27093,z=33957..37913
off x=-65503..-29447,y=-61594..-40102,z=-61417..-45704
on x=-5465..14206,y=24875..54603,z=70363..72584
off x=-90679..-68512,y=-16733..-2366,z=-17803..-459
on x=34647..50336,y=-370..18869,z=50354..79403
off x=-82737..-67740,y=-21454..-13408,z=-6599..24650
off x=-7969..8415,y=24338..38623,z=-85609..-72504
off x=60119..85298,y=-11772..6088,z=-35654..-24544
off x=-1482..27629,y=58542..72017,z=43264..52093
on x=48241..62254,y=44558..65621,z=12800..49591
on x=-61661..-55230,y=6683..38408,z=42243..63686
on x=-89994..-66991,y=-5015..1956,z=12115..34030
on x=-13384..12270,y=60123..76594,z=-39329..-26189
off x=-83463..-73162,y=10218..37682,z=18999..41815
off x=-66935..-50802,y=57969..72430,z=-4335..22504
off x=-96282..-60896,y=-26066..-14534,z=-24372..4521
on x=23742..37777,y=-7750..7548,z=75456..82421
off x=18943..39318,y=-32026..-3548,z=49723..70085
on x=6657..31107,y=-55214..-35170,z=54123..78681
on x=30268..47437,y=57337..79545,z=7368..29319
off x=-50998..-28101,y=36476..61906,z=-64012..-50549
off x=-39601..-31261,y=-84997..-47856,z=22833..24054
off x=-27590..3082,y=-85991..-75125,z=-19194..1655
off x=-86685..-67128,y=-26451..-10305,z=16483..39732
on x=-62079..-52534,y=-585..28826,z=37527..56387
off x=52158..82528,y=32115..40848,z=-31876..-5720
off x=56731..68604,y=-49499..-38435,z=-41863..-12658
on x=-20662..16727,y=-46058..-35895,z=-85887..-52878
on x=-89787..-74154,y=4894..29437,z=-9810..3488
on x=-7126..23121,y=-94245..-60012,z=-31384..-23826
off x=53735..66601,y=-17438..-3284,z=42673..56709
off x=-52698..-28631,y=47999..73584,z=7259..24908
off x=22906..37342,y=-31575..-20580,z=67513..82493
off x=21513..40526,y=16515..21005,z=65952..73402
off x=-74708..-51479,y=36496..61930,z=-45185..-29629
on x=-23445..5030,y=40395..59020,z=-67250..-51869
on x=-58811..-30069,y=-75251..-54695,z=-26012..4790
off x=-37564..-28053,y=-64804..-42654,z=29266..59561
on x=-92210..-73685,y=-42955..-22892,z=3492..17965
on x=24088..43347,y=68563..85427,z=-30128..-5268
off x=-46774..-32427,y=27060..53716,z=-56806..-39798
on x=-20970..-776,y=-20379..12252,z=70235..90043
off x=65519..92005,y=-29271..-15556,z=-11767..5023
on x=-24238..1445,y=-29150..-8012,z=-79236..-71936
off x=-16413..7485,y=8784..20457,z=73701..85140
on x=-81617..-72738,y=-6076..21804,z=21184..42297
on x=-18603..3809,y=-83618..-65534,z=15915..41820
off x=46035..68548,y=-10891..7946,z=-50325..-48786
off x=-13877..4719,y=49133..83943,z=24223..49712
off x=-48296..-18478,y=60823..88367,z=-36504..-19465
on x=55508..82544,y=-53509..-28856,z=-10981..-3901
on x=-121..31007,y=-97086..-59816,z=3028..24710
off x=5607..26287,y=-7132..8390,z=-84301..-73477
on x=27660..47152,y=-78844..-48390,z=-53615..-25669
on x=26175..46398,y=-79682..-56410,z=-39939..-33070
on x=-716..17324,y=-35503..-7447,z=64002..91036
on x=29236..58575,y=-42872..-25966,z=-52993..-42312
off x=66758..75691,y=29380..46051,z=-31613..-4526
on x=-68224..-51823,y=-41140..-23551,z=-16856..1016
off x=-51897..-36523,y=8713..40129,z=41866..70172
off x=-22778..-8036,y=60521..88507,z=4490..20427
on x=38888..63600,y=48785..73192,z=-892..15178
off x=-36116..-24736,y=7815..23583,z=57438..73807
on x=64214..77437,y=-18931..11171,z=-42603..-16165
on x=10978..12022,y=-72200..-54254,z=-52274..-44793
on x=-60033..-47866,y=789..23595,z=-73838..-55809
on x=9958..26741,y=6721..21385,z=-83084..-63871
off x=66327..92775,y=-24230..5079,z=-8466..6328
on x=-1645..2031,y=-81512..-64734,z=5292..29072
on x=37006..58150,y=65826..67459,z=-37153..-17354
off x=-56615..-45426,y=-66544..-40764,z=-35158..-20406
off x=-20465..-1645,y=15854..46792,z=-78862..-57458
on x=-77298..-57411,y=-62753..-41400,z=20804..39625
off x=48718..69744,y=12237..34810,z=33525..45584
off x=-39587..-18804,y=-66746..-52585,z=-43094..-34404
on x=-3101..13941,y=28196..45353,z=62487..86239
on x=-75014..-64908,y=-9727..11801,z=25982..43572
on x=54237..70861,y=-54965..-30858,z=23105..37368
off x=-14240..13016,y=17905..36311,z=60709..82665
on x=53894..91359,y=-10908..136,z=-49530..-22631
off x=-59429..-31060,y=-67643..-49414,z=-39524..-29929
off x=-87527..-55043,y=16513..41342,z=-37270..-9508
on x=-10043..8301,y=14011..33754,z=63873..96942
on x=10118..26193,y=-76946..-67615,z=26000..46974
off x=41985..49081,y=-4796..25939,z=-67797..-54689
on x=14002..31550,y=45089..72540,z=36401..72031
on x=-42408..-33667,y=47820..69031,z=24526..34790
off x=-16739..1068,y=56466..82023,z=-53856..-29125
off x=17727..40188,y=43235..63199,z=23764..37631
on x=-53053..-35579,y=36615..57554,z=58995..68523
off x=-58061..-30341,y=-51828..-32007,z=-63517..-28782
on x=55984..67199,y=1210..23837,z=47014..64862
off x=-29228..-5835,y=-86197..-58626,z=-3753..18921
off x=-28618..-14264,y=67121..95798,z=-20042..11478
on x=30863..49426,y=-74491..-61218,z=-31130..-10777
off x=28109..44394,y=-22301..-9661,z=-81353..-61616
on x=26554..32009,y=66503..83064,z=-12338..5592
off x=-77980..-54146,y=-51614..-34613,z=-42685..-15270
off x=-2779..16793,y=68054..73592,z=-47923..-19467
off x=-22664..-11272,y=-24727..1390,z=-89458..-69365
off x=-13025..9517,y=-97732..-64371,z=-25225..-8991
on x=41843..55691,y=-9251..1519,z=43981..73893
on x=27996..42516,y=7602..27387,z=60352..80458
off x=-33031..-820,y=-2237..3954,z=76512..88569
on x=53994..78980,y=24993..50728,z=-32458..2463
off x=31059..59642,y=9695..23750,z=49813..74453
off x=14399..36596,y=-31161..-20384,z=54604..79311
off x=-45811..-22101,y=60940..72486,z=-42904..-32492
off x=53723..71163,y=-63147..-42994,z=17671..46914
on x=70868..82593,y=3609..20121,z=17458..33961
off x=-78469..-59852,y=-37403..-8285,z=14116..29529
off x=-90804..-60667,y=-7313..11998,z=-31738..6007
off x=31624..40563,y=23604..55286,z=-65520..-39493
on x=-74137..-63301,y=29453..38579,z=-31212..-16750
off x=30070..58931,y=45451..76733,z=19911..45199
off x=-42153..-9361,y=7525..18513,z=-83720..-58077
on x=-56760..-40026,y=-63629..-50601,z=3229..23310
off x=6438..31573,y=63132..91673,z=-22737..1687
on x=-2486..7619,y=-97706..-64418,z=-27914..2089
off x=59078..73143,y=-52136..-25916,z=22957..29241
on x=43919..60337,y=-21332..-9954,z=43328..57585
on x=-34725..-152,y=-93294..-61298,z=-15549..-2995
on x=35727..38997,y=-14432..15654,z=63548..85260
off x=-70864..-50832,y=-50076..-18495,z=-51915..-35025
