4-90,1-4
80-94,80-81
1-97,96-99
20-87,20-88
84-84,83-88
9-75,10-75
7-25,24-48
10-99,11-98
4-98,1-1
20-42,1-42
5-31,6-31
9-14,15-84
87-98,22-81
44-69,45-68
2-2,2-83
16-76,69-75
43-71,43-91
30-95,29-29
1-1,3-87
22-90,22-80
86-90,91-98
11-20,10-20
59-67,60-79
20-75,20-95
26-57,27-56
7-71,6-72
10-78,1-6
59-67,31-68
91-95,7-81
15-60,14-14
5-54,6-53
88-97,91-96
46-70,45-69
65-79,64-86
74-74,25-73
1-95,95-98
8-70,70-71
1-2,1-1
35-43,38-60
11-81,12-12
1-1,1-90
5-10,4-23
87-97,52-96
4-98,5-98
1-3,7-90
91-93,10-92
46-46,46-89
10-99,10-97
34-50,51-51
26-72,42-73
9-69,9-10
78-85,22-79
65-72,64-78
52-93,51-52
4-22,5-22
33-34,11-55
46-91,47-90
78-96,12-96
16-98,15-98
28-78,6-77
7-15,7-16
35-95,13-43
99-99,73-92
34-70,38-69
4-74,92-96
86-90,52-90
15-45,15-44
11-53,54-86
21-78,16-21
30-35,32-34
49-72,71-78
77-94,35-63
6-47,17-36
7-96,6-94
50-51,50-65
15-75,14-76
19-88,12-87
13-64,4-63
53-64,52-65
69-79,79-86
13-34,13-14
48-57,48-85
66-80,2-79
11-82,3-6
29-91,29-84
7-16,16-36
45-86,44-87
86-86,21-86
21-87,22-86
6-79,12-79
3-64,98-98
44-69,45-68
19-94,95-95
5-92,5-84
83-85,84-85
16-88,16-89
86-91,29-86
27-85,86-86
48-60,48-69
1-3,3-82
25-25,40-46
52-77,51-76
35-38,36-38
75-75,5-76
62-77,63-69
21-83,22-91
12-12,12-93
30-82,31-41
17-62,18-63
5-97,3-5
49-96,50-96
46-48,46-50
22-22,14-21
5-98,4-98
91-92,16-92
1-97,98-99
85-97,73-96
45-62,11-50
3-14,13-73
8-75,9-76
32-58,33-53
3-68,65-68
6-10,6-7
2-2,2-26
6-96,5-95
12-90,53-90
48-86,49-59
4-89,4-95
44-44,45-54
43-65,42-89
95-95,5-79
51-53,37-52
31-99,30-97
3-83,2-78
32-73,32-33
68-83,68-79
4-17,16-53
25-64,24-26
8-92,8-93
3-77,3-78
53-77,29-77
77-99,76-97
46-88,49-83
52-63,53-64
25-78,14-84
5-39,4-39
48-84,49-83
14-78,52-83
27-87,35-95
11-48,6-48
3-99,1-34
20-25,28-67
33-61,34-83
11-21,20-32
30-39,10-39
22-25,29-51
18-88,32-89
12-87,12-13
49-76,29-32
17-52,77-92
72-79,65-79
4-53,2-2
61-91,62-91
6-69,70-70
2-96,96-99
20-68,19-68
60-98,59-59
31-34,30-34
2-22,19-21
3-80,79-80
72-72,71-71
1-92,1-1
67-86,48-94
42-43,43-80
3-89,89-90
5-68,3-69
7-7,6-65
78-86,78-81
54-85,85-85
9-64,10-10
39-96,38-38
60-62,18-61
20-47,47-81
2-97,98-99
18-83,83-83
12-93,12-13
4-4,3-74
77-96,11-62
2-81,2-80
53-59,52-59
55-94,54-90
29-30,29-42
52-69,64-69
9-90,3-10
16-39,15-61
74-76,38-75
12-14,22-43
12-90,11-11
5-94,6-93
6-18,17-23
8-8,8-18
27-42,26-41
8-77,7-7
46-47,47-47
1-57,21-29
11-87,2-2
45-45,46-46
64-65,64-87
36-36,37-74
34-56,38-56
66-77,67-98
1-86,2-21
11-30,12-29
98-99,31-97
5-5,10-71
18-83,11-19
8-38,3-8
2-79,48-78
10-14,9-24
16-91,16-96
3-3,4-99
25-35,29-84
49-70,50-74
48-68,49-49
61-61,57-61
40-79,50-78
56-83,27-84
82-92,54-82
50-59,59-69
52-84,52-83
17-66,15-65
2-91,3-3
13-47,12-88
62-80,61-70
11-71,4-8
35-88,36-88
9-55,5-10
31-53,30-91
22-36,35-97
5-64,4-65
61-61,4-62
10-78,16-73
6-81,5-82
10-42,9-75
17-36,16-96
51-83,85-85
35-68,67-68
46-61,19-60
12-55,10-56
3-90,9-91
63-97,98-99
32-93,33-52
66-71,67-67
22-82,82-83
6-91,7-92
76-97,98-99
33-86,53-85
37-83,37-82
5-86,64-87
29-52,40-51
60-76,76-77
20-40,56-58
14-88,3-89
15-15,16-88
96-99,6-97
55-76,54-76
22-88,28-81
21-21,21-36
2-92,1-93
13-36,12-35
50-81,18-51
46-48,1-47
17-82,82-84
7-9,12-88
16-94,16-58
18-52,17-96
6-82,7-82
14-94,48-93
12-76,9-13
20-98,21-96
69-95,16-92
2-3,2-93
28-38,27-39
11-65,11-64
43-44,43-63
1-1,4-98
3-3,3-9
63-89,21-63
6-48,5-48
13-51,13-50
90-96,53-95
9-44,30-44
61-74,61-62
47-87,48-83
26-26,25-96
58-95,57-95
24-81,80-81
9-95,3-94
13-31,14-32
14-89,89-89
19-29,18-28
7-41,4-7
63-73,63-64
3-11,10-95
36-41,26-47
19-79,18-80
46-86,30-45
84-91,84-87
1-76,1-88
43-80,1-3
3-8,47-77
54-54,21-55
3-83,82-83
54-72,15-55
10-49,62-71
7-98,10-93
89-92,8-93
67-68,24-67
43-80,44-84
35-51,88-99
4-99,3-98
16-63,8-64
80-99,81-99
14-95,13-96
13-84,12-13
19-80,18-81
2-91,3-86
59-59,1-58
23-90,10-21
99-99,3-96
7-7,3-8
66-95,24-95
27-86,26-86
45-96,48-95
33-56,29-34
43-43,44-91
2-96,3-97
16-16,15-77
61-61,61-71
17-73,73-74
64-86,63-86
21-23,42-46
29-30,19-30
12-96,2-97
25-25,25-73
15-21,14-20
82-90,15-69
5-29,6-29
2-95,82-96
19-56,6-55
24-56,24-52
5-6,5-94
40-97,40-40
79-99,55-80
9-98,97-99
16-98,9-99
70-71,24-70
13-34,14-33
40-41,40-51
6-98,7-97
16-77,55-58
16-24,9-19
41-70,42-70
6-98,99-99
77-77,40-76
34-77,34-87
74-92,29-74
5-33,4-96
14-83,1-82
5-40,5-30
72-72,11-71
45-45,44-58
10-10,9-72
5-42,1-43
11-99,10-99
6-6,6-96
39-59,38-60
92-94,41-93
1-17,3-94
20-49,20-50
3-26,28-54
40-60,10-59
24-95,55-96
4-97,5-98
3-93,1-93
3-99,4-95
60-98,17-57
12-12,13-78
3-34,2-99
6-6,5-63
3-85,4-65
4-77,4-77
56-56,11-55
27-99,37-98
7-7,7-59
22-89,28-85
6-39,7-96
15-21,11-16
51-72,13-71
7-41,7-41
18-28,10-27
38-78,25-38
32-84,32-83
48-92,48-69
83-84,84-84
52-94,52-89
33-33,31-33
34-78,34-35
6-97,14-96
18-62,17-70
12-51,13-56
68-68,24-67
6-19,19-63
19-88,15-88
44-62,45-63
5-82,6-82
4-89,96-99
20-35,35-85
39-52,38-51
44-98,28-99
76-78,6-76
86-93,37-88
63-82,12-83
69-78,61-79
97-98,6-98
28-73,28-28
11-73,10-73
3-4,6-80
71-75,72-75
74-75,10-74
5-99,4-18
24-32,9-25
1-8,7-80
17-53,52-93
13-95,12-94
28-87,28-54
78-89,90-93
24-54,54-54
11-62,10-62
66-82,65-82
31-94,30-94
5-96,6-98
90-91,27-81
63-64,63-89
5-63,5-5
91-92,3-41
65-66,60-65
48-99,48-49
9-96,8-9
6-48,6-47
4-87,3-86
10-99,11-98
4-79,4-4
19-71,65-72
3-90,3-3
16-97,17-98
61-98,99-99
7-24,6-66
76-82,77-82
47-89,46-94
4-91,6-70
28-29,30-53
54-58,55-74
33-71,72-99
26-26,26-43
97-99,12-94
30-82,99-99
94-94,42-94
4-98,5-98
41-82,40-83
1-92,97-99
40-43,31-39
60-96,59-68
90-90,90-95
22-24,22-97
13-98,98-99
56-86,85-85
89-92,93-93
80-80,4-81
67-98,66-87
5-97,6-97
20-67,68-68
6-18,4-6
31-71,32-32
14-25,13-39
90-90,9-91
4-80,51-79
59-88,15-99
27-76,28-28
7-47,48-48
15-94,16-89
15-50,16-50
31-56,2-32
14-62,15-61
9-99,9-97
82-92,11-82
3-33,3-32
9-79,51-78
63-80,36-63
57-60,57-82
51-53,52-89
11-20,44-98
41-79,36-41
61-79,74-79
20-55,54-70
49-51,17-50
15-20,15-19
46-75,47-74
38-65,34-39
86-89,37-85
4-85,3-3
8-76,2-76
62-73,45-73
29-31,29-53
76-78,25-77
11-98,11-11
17-93,18-94
4-12,5-12
15-75,18-76
1-14,1-3
35-98,34-99
2-34,34-67
18-23,18-68
68-70,39-69
64-86,85-87
22-94,5-64
12-95,13-95
88-88,68-87
15-82,30-50
11-26,25-27
12-12,11-53
15-47,48-48
56-63,62-83
36-98,35-98
29-46,30-47
64-64,50-64
4-67,9-67
71-95,67-94
58-66,57-63
55-71,56-70
7-10,7-11
17-91,90-90
81-81,41-81
1-24,1-5
69-98,98-98
15-85,14-85
75-95,33-51
13-67,17-66
22-46,23-63
